,2.0,16.0,5.0,0.0,
felt,0.0,1.0,3.0,0.0,
fell,0.0,0.0,3.0,0.0,
wounded,0.0,0.0,1.0,0.0,
weekend,5.0,0.0,3.0,0.0,
explosions,3.0,0.0,0.0,0.0,
billion,1.0,2.0,0.0,0.0,
longer,1.0,0.0,0.0,0.0,
phone,1.0,0.0,0.0,0.0,
daily,0.0,3.0,0.0,0.0,
1808,0.0,0.0,0.0,0.0,
bryshere gray,0.0,0.0,0.0,0.0,
time,3.0,4.0,4.0,0.0,
songs,4.0,0.0,9.0,0.0,
shop,1.0,7.0,3.0,0.0,
include icloud,0.0,0.0,0.0,0.0,
global,1.0,9.0,8.0,0.0,
focus,2.0,6.0,0.0,0.0,
mild,2.0,0.0,0.0,0.0,
mile,1.0,0.0,4.0,0.0,
arnett,0.0,0.0,1.0,0.0,
row,0.0,1.0,7.0,0.0,
devoted,1.0,0.0,0.0,0.0,
venice,1.0,0.0,16.0,0.0,
honoring,1.0,0.0,1.0,0.0,
1940,0.0,0.0,0.0,0.0,
1947,0.0,0.0,0.0,0.0,
answered,0.0,0.0,0.0,0.0,
aristocratic,5.0,0.0,0.0,0.0,
brown,1.0,6.0,10.0,0.0,
smartphone,3.0,1.0,0.0,0.0,
matthew broderick,6.0,0.0,0.0,0.0,
cake star,0.0,0.0,0.0,0.0,
advantage,0.0,7.0,0.0,0.0,
choice,2.0,3.0,1.0,0.0,
istanbul is one,0.0,0.0,0.0,0.0,
blast,3.0,2.0,1.0,0.0,
minute,0.0,0.0,0.0,0.0,
cool,7.0,2.0,3.0,0.0,
denounced,0.0,0.0,0.0,0.0,
flammable,0.0,2.0,0.0,0.0,
level,5.0,0.0,4.0,0.0,
tear,0.0,0.0,1.0,0.0,
hawaii,2.0,0.0,5.0,0.0,
magnet,3.0,2.0,3.0,0.0,
team,2.0,2.0,1.0,0.0,
round,3.0,2.0,4.0,0.0,
ted all held,0.0,0.0,0.0,0.0,
temples,3.0,0.0,18.0,0.0,
meirong,0.0,0.0,0.0,0.0,
happy justin,0.0,0.0,0.0,0.0,
discover,0.0,4.0,0.0,0.0,
sign,0,0,0,0,
port,0.0,0.0,4.0,0.0,
cargo,2.0,1.0,0.0,0.0,
curse,1.0,3.0,2.0,0.0,
appear,0.0,13.0,0.0,0.0,
shares,2.0,2.0,2.0,0.0,
current,2.0,1.0,1.0,0.0,
goes,6.0,0.0,3.0,0.0,
international,2.0,2.0,1.0,0.0,
appeal,2.0,0.0,1.0,0.0,
filled,0.0,0.0,0.0,0.0,
bridge park,0.0,0.0,0.0,0.0,
unsure,0.0,0.0,0.0,0.0,
plucking,1.0,3.0,0.0,0.0,
lakes,4.0,0.0,20.0,0.0,
water,1.0,0.0,3.0,0.0,
corporation,0.0,0.0,0.0,0.0,
crippled,3.0,0.0,0.0,0.0,
along,2.0,0.0,2.0,0.0,
episode,0.0,0.0,0.0,0.0,
change,8.0,1.0,8.0,0.0,
terrence,5.0,0.0,0.0,0.0,
hbo,0.0,4.0,2.0,0.0,
flames,3.0,0.0,0.0,0.0,
maguire,1.0,0.0,1.0,0.0,
institute,0.0,0.0,3.0,0.0,
lee daniels,10.0,0.0,0.0,0.0,
brooklyn heights,2.0,1.0,5.0,0.0,
against new york,0.0,0.0,0.0,0.0,
creator lee,0.0,0.0,0.0,0.0,
commonly,0.0,0.0,0.0,0.0,
king ’ s cross,0.0,0.0,0.0,0.0,
franklin,1.0,1.0,53.0,0.0,
interbrand best,0.0,0.0,0.0,0.0,
love,16.0,1.0,16.0,0.0,
bar on the other,0.0,0.0,0.0,0.0,
bullock,0.0,0.0,8.0,0.0,
rarely,0.0,0.0,0.0,0.0,
market,3.0,11.0,6.0,0.0,
hotels,5.0,0.0,2.0,0.0,
wealth,0.0,0.0,0.0,0.0,
cultural centres,0.0,0.0,0.0,0.0,
its best,0.0,0.0,0.0,0.0,
sports,1.0,0.0,3.0,0.0,
insider,2.0,0.0,0.0,0.0,
live,1.0,6.0,0.0,0.0,
handler,8.0,0.0,4.0,0.0,
iphone,0.0,1.0,0.0,0.0,
films,1,0,0,0,
time—these,0.0,0.0,0.0,0.0,
theoretical,0.0,0.0,0.0,0.0,
today,8.0,0.0,5.0,0.0,
sharing,0.0,0.0,0.0,0.0,
aperitivo,0.0,0.0,0.0,0.0,
clue,1.0,1.0,0.0,0.0,
everywhere,2.0,0.0,2.0,0.0,
walled,0.0,0.0,0.0,0.0,
manhattan project,2.0,0.0,0.0,0.0,
valued,2.0,1.0,0.0,0.0,
originally,0.0,0.0,0.0,0.0,
young colleague,0.0,0.0,0.0,0.0,
flagship,0.0,6.0,1.0,0.0,
soup,2.0,0.0,0.0,0.0,
growing,1.0,0.0,0.0,0.0,
making,1.0,0.0,1.0,0.0,
stimulating,0.0,0.0,0.0,0.0,
heart,1.0,0.0,4.0,0.0,
performer,1.0,0.0,0.0,0.0,
trump,1.0,1.0,0.0,0.0,
december,0.0,0.0,1.0,0.0,
frescoes,3.0,1.0,0.0,0.0,
heard,0.0,0.0,3.0,0.0,
critic,0.0,0.0,1.0,0.0,
unloads,0.0,0.0,0.0,0.0,
chic,12.0,0.0,1.0,0.0,
mcshane,0,0,0,0,
monitoring,1.0,8.0,2.0,0.0,
chemical,0.0,0.0,0.0,0.0,
sunday,3.0,0.0,0.0,0.0,
held prominent,0.0,0.0,0.0,0.0,
sundar,11.0,0.0,2.0,0.0,
product,0.0,0.0,0.0,0.0,
crashes,6.0,0.0,6.0,0.0,
huge,1.0,2.0,0.0,0.0,
barcelona has a relaxed,0.0,0.0,0.0,0.0,
lined up,0.0,0.0,0.0,0.0,
dive,4,0,5,0,
actors to ever sign,0,0,0,0,
diva,9.0,1.0,0.0,0.0,
mac,10.0,8.0,12.0,0.0,
produce,0.0,2.0,1.0,0.0,
green spaces,0.0,0.0,0.0,0.0,
such,4.0,0.0,0.0,0.0,
revealed,4,0,0,0,
eighth,0.0,0.0,0.0,0.0,
man,0.0,0.0,0.0,0.0,
natural,1.0,0.0,0.0,0.0,
grandson,4.0,0.0,6.0,0.0,
tapas,0.0,0.0,1.0,0.0,
st,1.0,7.0,3.0,0.0,
switch,2.0,9.0,0.0,0.0,
stone facades,0.0,0.0,0.0,0.0,
